table_physical_name,logical_name,physical_name,data_type
M_CUSTOMERS,CustomerID,CUSTOMER_ID,int
M_CUSTOMERS,CustomerName,CUSTOMER_NAME,"nvarchar(100)"
M_CUSTOMERS,Address,ADDRESS,"nvarchar(255)"
T_ORDER_HEADERS,OrderID,ORDER_ID,int
T_ORDER_HEADERS,CustomerID,CUSTOMER_ID,int
T_ORDER_HEADERS,OrderDate,ORDER_DATE,datetime
T_ORDER_HEADERS,TotalAmount,TOTAL_AMOUNT,decimal
M_PRODUCTS,ProductID,PRODUCT_ID,int
M_PRODUCTS,ProductName,PRODUCT_NAME,"nvarchar(100)"
M_PRODUCTS,UnitPrice,UNIT_PRICE,decimal
T_ORDER_DETAILS,OrderDetailID,ORDER_DETAIL_ID,int
T_ORDER_DETAILS,OrderID,ORDER_ID,int
T_ORDER_DETAILS,ProductID,PRODUCT_ID,int
T_ORDER_DETAILS,Quantity,QUANTITY,int
